method,beta,accuracy_mean,accuracy_sd,pair_loss_mean,brier_mean,ece_mean,margin_mean
pairwise,0.1,0.55,0.013333333333333322,0.6926419393863524,0.24974738722201578,0.49974295889725473,0.010281967066080025
pairwise,0.3,0.5626666666666666,0.007226494462892946,0.6899541443264358,0.24840541599992885,0.4982017083658755,0.024010082972033026
pairwise,1.0,0.5426666666666666,0.01588150566609546,0.6902630483811252,0.2484951901597341,0.49473920675592786,0.02140875574022173
pairwise,3.0,0.49333333333333335,0.011303883305208784,0.7436772914203034,0.2700327592514062,0.49810624432759776,0.002091032019356203
pairwise,10.0,0.48,0.012018504251546628,1.0694743656220527,0.33862196571544595,0.505579049491582,-0.00572867187448917
pointwise,0.1,0.5413333333333333,0.0119256958799989,0.6927041207011311,0.24977847608882145,0.49977475623866796,0.00900999871001073
pointwise,0.3,0.5433333333333333,0.012909944487358068,0.6914724552264724,0.2491631928509249,0.49905632243413933,0.012591566301893897
pointwise,1.0,0.5073333333333333,0.019206480387850566,0.6951054873041984,0.2509492425508433,0.49924819299908635,0.002996499715779799
pointwise,3.0,0.48,0.021081851067789203,0.7490580696289084,0.27355854123229517,0.505856386024338,-0.009762574135128972
pointwise,10.0,0.4833333333333333,0.011303883305208783,1.2177508476010022,0.3604991154405881,0.5132086019078754,-0.017920160697023704
