method,runs,accuracy_mean,accuracy_sd,pair_loss_mean,brier_mean,trainable_parameters,trainable_share,elapsed_seconds_mean,selected_epoch_mean
head_only,3,0.5466666666666667,0.005773502691896262,0.6864880709142355,0.24669866875710744,129,2.9411436123946632e-05,75.64317646666314,1.6666666666666667
lora,3,0.5333333333333333,0.020000000000000018,0.6872291868552095,0.24707595525955106,8321,0.001893614847251209,127.05535873333186,1.0
