method,seed,beta,validation_accuracy,test_accuracy,test_pair_loss,test_brier,test_margin,trainable_parameters,total_parameters,elapsed_seconds,selected_epoch
head_only,11,0.3,0.4633333333333333,0.55,0.6861074968128426,0.2465101783252402,0.05983555855850379,129,4386049,75.3149609999964,2
head_only,29,0.3,0.55,0.55,0.6853691098681753,0.24613387387303287,0.06245381633440653,129,4386049,76.6184149000037,1
head_only,47,0.3,0.5133333333333333,0.54,0.6879876060616885,0.2474519540730493,0.04797064396242301,129,4386049,74.9961534999893,2
lora,11,0.3,0.5233333333333333,0.5333333333333333,0.6906979788067832,0.24879721157749562,0.029117347734669844,8321,4394241,124.18839589999698,1
lora,29,0.3,0.49333333333333335,0.5133333333333333,0.6872862428701179,0.24712363359152587,0.05464042816311121,8321,4394241,124.82834239999647,1
lora,47,0.3,0.5233333333333333,0.5533333333333333,0.6837033388887276,0.24530702060963175,0.07290782429277896,8321,4394241,132.14933790000214,1
